County,DemVotes,RepVotes
ALCONA,1732,4201
ALGER,1663,2585
ALLEGAN,17932,33812
ALPENA,4877,9090
ANTRIM,4448,8469
ARENAC,2238,4704
BARAGA,1156,2158
BARRY,9109,19197
BAY,21641,28,327
BENZIE,4108,5539
BERRIEN,29496,38,646
BRANCH,4740,11025
CALHOUN,24154,31489
CASS,7270,14241
CHARLEVOIX,5137,8674
CHEBOYGAN,4302,8680
CHIPPEWA,5378,9120
CLARE,4250,8,507
CLINTON,16490,21635
CRAWFORD,2110,4354
DELTA,6431,11112
DICKINSON,3923,8580
EATON,24534,27608
EMMET,6972,10616
GENESEE,102744,84174
GLADWIN,3794,8124
GOGEBIC,2925,4019
GD. TRAVERSE,20964,27412
GRATIOT,5665,9878
HILLSDALE,4799,14094
HOUGHTON,6018,8475
HURON,4579,10,629
INGHAM,81266,44354
IONIA,8206,16374
IOSCO,4344,8344
IRON,2004,3675
ISABELLA,11404,12338
JACKSON,25795,39793
KALAMAZOO,67142,51031
KALKASKA,2279,6213
KENT,138567,147959
KEWEENAW,527,814
LAKE,1939,3159
LAPEER,12734,30037
LEELANAU,6774,7239
LENAWEE,16750,26428
LIVINGSTON,34378,65665
LUCE,681,1756
MACKINAC,2085,3740
MACOMB,176238,224589
MANISTEE,4979,6915
MARQUETTE,16042,14646
MASON,5281,8505
MECOSTA,5827,10305
MENOMINEE,3539,6704
MIDLAND,15655,23877
MISSAUKEE,1565,5386
MONROE,26859,43255
MONTCALM,7874,16907
MONTMORENCY,1286,3498
MUSKEGON,36640,35962
NEWAYGO,6212,15174
OAKLAND,342976,289127
OCEANA,3973,7228
OGEMAW,3030,6827
ONTONAGON,1175,2069
OSCEOLA,2705,7336
OSCODA,1044,2843
OTSEGO,3556,8266
OTTAWA,46276,90456
PRESQUE ISLE,2400,4486
ROSCOMMON,4287,8141
SAGINAW,44395,45469
SANILAC,4873,13446
SCHOOLCRAFT,1369,2556
SHIAWASSEE,12547,19232
ST. CLAIR,24553,49067
ST. JOSEPH,7529,14886
TUSCOLA,7493,17421
VAN BUREN,13258,17890
WASHTENAW,128025,50335
WAYNE,517842,228908
WEXFORD,4436,10000
