County,DemVotes,RepVotes
MENOMINEE,4324,3036
MACKINAC,2948,2208
ALGER,2656,1492
ALLEGAN,27596,19524
GENESEE,128256,43794
BRANCH,6110,6084
SHIAWASSEE,17652,10808
IONIA,11196,7628
CLARE,5780,5848
VAN BUREN,17902,10530
MONTCALM,11626,12178
KALKASKA,3582,3676
DELTA,8274,5080
LAKE,2384,1960
ST. CLAIR,37908,32566
HURON,5896,5914
OAKLAND,518654,182378
DICKINSON,5370,4814
CHIPPEWA,7070,4786
BENZIE,6834,3958
HILLSDALE,6456,8142
OTTAWA,70006,52960
CHARLEVOIX,7900,4754
EATON,35766,16936
OSCODA,1488,2062
CASS,9160,6402
JACKSON,32026,19014
LUCE,986,1106
LAPEER,18472,16808
BAY,30640,14188
BARRY,13040,10450
MIDLAND,22374,11722
WAYNE,633706,141984
ST. JOSEPH,9606,9202
MONTMORENCY,1922,2690
LIVINGSTON,54916,37964
KENT,207352,83386
ISABELLA,15384,6340
BERRIEN,38086,22644
BARAGA,1596,1346
ALPENA,8228,7876
OTSEGO,5506,4680
OCEANA,5450,4430
MANISTEE,7274,4510
TUSCOLA,9710,9410
MUSKEGON,48632,20298
GD. TRAVERSE,35146,17240
MECOSTA,8498,7740
SANILAC,6504,9094
IOSCO,5822,4528
SCHOOLCRAFT,1846,1024
ARENAC,3156,2442
MISSAUKEE,2258,3880
MONROE,35714,22192
CALHOUN,28040,15098
HOUGHTON,9062,3874
INGHAM,117100,28498
CLINTON,24002,12234
ONTONAGON,1720,1250
KEWEENAW,900,402
ROSCOMMON,5908,5924
OSCEOLA,3468,4492
CRAWFORD,3190,3174
EMMET,11430,6848
NEWAYGO,8738,8936
GOGEBIC,4112,1904
GRATIOT,7278,4876
PRESQUE ISLE,3454,2696
LENAWEE,21302,12592
KALAMAZOO,96384,28826
MARQUETTE,23896,6796
OGEMAW,4206,4276
MASON,7970,4964
WASHTENAW,204900,26726
ALCONA,2344,2420
LEELANAU,11246,4710
SAGINAW,55392,28134
ANTRIM,6942,4842
WEXFORD,6834,6362
MACOMB,259684,164764
GLADWIN,4990,4690
IRON,2986,2272
CHEBOYGAN,5872,4746
