Fiscal Year,Employer,Initial Approvals,Initial Denials,Continuing Approvals,Continuing Denials,NAICS,Tax ID,State,City,
2019,COGNIZANT TECH SOLUTIONS US CORP,0,1,3,0,54,4155,TX,COLLEGE STATION,
2019,COGNIZANT TECH SOLUTIONS US CORP,2,3,1,1,54,4156,TX,COLLEGE STATION,
2019,COGNIZANT TRIZETTO SOFTWARE GROUP,2,3,4,2,54,1159,TX,COLLEGE STATION,
2019,COGNIZANT TECH SOLNS US CORP,"1,580","2,060","11,783","3,910",54,4155,TX,COLLEGE STATION,
2019,COGNIZANT TRIZETTO SOFTWARE GROUP,2,2,32,3,51,1159,TX,COLLEGE STATION,
2019,COGNIZANT TECH SOLUTIONS US CORP,2,1,1,1,54,6124,TX,COLLEGE STATION,
2019,COGNIZANT TECH SOLUTIONS US CORP,3,0,3,0,54,4115,TX,COLLEGE STATION,
2019,COGNIZANT TECH SOLNS US CORP,1,0,0,1,54,4155,TX,COLLEGE STATION,
2019,COGNIZANT TECH SOLUTIONS US CORP,0,0,5,1,54,4155,TX,COLLEGE STATION,
2019,COGNIZANT TECH SOLUTIONS US CORP,0,0,1,0,54,4155,TX,COLLEGE STATION,
2019,COGNIZANT TECH SOLUTIONS US CORP,0,0,1,0,54,4155,TX,COLLEGE STATION,
2019,COGNIZANT TRIZETTO SOFTWARE GROUP,0,0,1,1,51,4155,TX,COLLEGE STATION,
2019,COGNIZANT TECH SOLUTIONS US CORP,0,0,1,0,54,4158,TX,COLLEGE STATION,
2019,COGNIZANT TECH SOLUTIONS US CORP,0,0,1,0,54,4195,TX,COLLEGE STATION,
2019,COGNIZANT TECH SOLNS US CORP,0,0,2,0,54,4415,TX,COLLEGE STATION,
2019,COGNIZANT TECH SOLUTIONS US CORP,0,0,1,0,54,4155,TX,COLLEGE STATION,
2019,COGNIZANT TECH SOLUTIONS US CORP,0,0,1,0,54,4155,TX,COLLEGE STATION,
2019,COGNIZANT TECH SOLUTIONS US CORP,0,0,1,0,54,5157,TX,COLLEGE STATION,
2019,COGNIZANT TECH SOLUTIONS US CORP,0,0,0,1,54,2415,TX,COLLEGE STATION,
2019,COGNIZANT TRIZETTO SOFTWARE GROUP,0,0,1,0,11,1159,TX,COLLEGE STATION,
,,1592,2070,11843,3921,,,,,
Total,,13435,,5991,,,,,,
,,,,,,,,,,
2019,TATA COSULTANCY SVCS LTD,0,1,2,1,54,9806,MD,ROCKVILLE,20850
2019,TATA CONSULTANCY SVCS LTD,"1,733",763,"5,859","1,376",54,9806,MD,ROCKVILLE,20850
,,1733,764,5861,1377,,,,,
Total,,7594,,,,,,,,
,,,,,,,,,,
2019,AMAZON COM SERVICES INC,8,1,7,2,45,6860,WA,SEATTLE,98121
2019,AMAZON DIGITAL SVCS INC,9,1,8,0,51,7755,WA,SEATTLE,98121
2019,AMAZON ROBOTICS LLC,14,1,43,0,33,3087,WA,SEATTLE,98121
2019,AMAZON WEB SERVICES INC,372,20,790,42,51,8068,WA,SEATTLE,98121
2019,AMAZON SERVICES LLC,23,1,50,0,45,8319,WA,SEATTLE,98121
2019,AMAZON.COM SERVICES INC,"3,026",122,"4,186",133,45,4687,WA,SEATTLE,98121
2019,AMAZON WEB SERVICES INC,43,1,53,0,45,8068,WA,SEATTLE,98121
2019,AMAZON COM SERVICES INC,17,0,14,0,54,4687,WA,SEATTLE,98121
2019,AMAZON MECHANICAL TURK INC,5,0,5,0,99,4202,WA,SEATTLE,98121
2019,AMAZON COM SERVICES INC,5,0,9,0,42,4687,WA,SEATTLE,98121
2019,AMAZON COM SVCS INC,5,0,1,0,99,4687,WA,SEATTLE,98121
2019,AMAZON COM SERVICES INC,3,0,1,0,45,4687,MA,BOSTON,2110
2019,AMAZON WEB SERVICES INC,2,0,3,0,99,8068,WA,SEATTLE,98121
2019,AMAZON CAPITAL SERVICES INC,2,0,1,0,52,8644,WA,SEATTLE,98121
2019,AMAZON COM SVCS INC,2,0,1,0,45,4687,CA,LOS ANGELES,90071
2019,AMAZON COM SERVICES INC,2,0,5,0,51,4687,WA,SEATTLE,98121
2019,AMAZON WEB SERVICES INC,1,0,9,0,54,8068,WA,SEATTLE,98121
2019,AMAZON WEB SERVICES INC,0,0,1,0,51,8068,PA,WEXFORD,15090
